week_num,day_num,row_num,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,tweet_cursor_id,sentiment,topic
3,5,54429,1.19752e+18,DuetSQuays,Dynamic design...all the comforts of home. Professionally managed...perfectly maintained. Call now to book a viewing : 0161 241 3823,Salford Quays,244,56,354,21/11/2019 14:38,11/6/2020 17:19,0,Our communal garden is the perfect place to take a break while #WFH 🌳🌻🌿#DuetSalfordQuays #GardenLife #GreenFingers #ErieBasin #QuaySide https://t.co/8aK20toeUn,"[{'text': 'WFH', 'indices': [63, 67]}, {'text': 'DuetSalfordQuays', 'indices': [71, 88]}, {'text': 'GardenLife', 'indices': [89, 100]}, {'text': 'GreenFingers', 'indices': [101, 114]}, {'text': 'ErieBasin', 'indices': [115, 125]}, {'text': 'QuaySide', 'indices': [126, 135]}]",1.27113e+18,"['our', 'communal', 'garden', 'is', 'the', 'perfect', 'place', 'to', 'take', 'a', 'break', 'while']","['communal', 'garden', 'perfect', 'place', 'take', 'break']"
3,3,48642,11168912.0,deniswbarnard,"Expert in HRIS and Human Capital solutions. Author of 
Selecting and Implementing HR & payroll software ISBN: 9781910370964","Bogotá, D.C., Colombia",1122,1055,4322,14/12/2007 16:43,9/6/2020 12:50,0,"What are the Six Pillars of #WFH?
@RobWilliams &amp; deniswbarnard
combine to look at the problem of individual suitability for #WorkingFromHome 
https://t.co/LRNF4VqFnJ #HR #payroll #HRIS #COVID19 #postcovid

#SixPillarsofWFH","[{'text': 'WFH', 'indices': [28, 32]}, {'text': 'WorkingFromHome', 'indices': [128, 144]}, {'text': 'HR', 'indices': [170, 173]}, {'text': 'payroll', 'indices': [174, 182]}, {'text': 'HRIS', 'indices': [183, 188]}, {'text': 'COVID19', 'indices': [189, 197]}, {'text': 'postcovid', 'indices': [198, 208]}, {'text': 'SixPillarsofWFH', 'indices': [210, 226]}]",1.27034e+18,"['what', 'are', 'the', 'six', 'pillars', 'of', 'amp', 'deniswbarnardcombine', 'to', 'look', 'at', 'the', 'problem', 'of', 'individual', 'suitability', 'for']","['six', 'pillar', 'amp', 'deniswbarnardcombine', 'look', 'problem', 'individual', 'suitability']"
3,3,49822,1.25804e+18,Hitesh86P,Bhai Engineer Hoon,"Navi Mumbai, India",70,6,35,6/5/2020 14:08,9/6/2020 3:17,0,"Irony of #WorkFromHome 
Before your boss follow-up with you for status of work or customer,
Your wife takes follow-up asking what happen with that customer.
#wifeboss #WFH #lockdowneffect","[{'text': 'WorkFromHome', 'indices': [9, 22]}, {'text': 'wifeboss', 'indices': [157, 166]}, {'text': 'WFH', 'indices': [167, 171]}, {'text': 'lockdowneffect', 'indices': [172, 187]}]",1.27019e+18,"['irony', 'of', 'before', 'your', 'boss', 'follow', 'up', 'with', 'you', 'for', 'status', 'of', 'work', 'or', 'customer', 'your', 'wife', 'takes', 'follow', 'up', 'asking', 'what', 'happen', 'with', 'that', 'customer']","['irony', 'bos', 'follow', 'status', 'work', 'customer', 'wife', 'take', 'follow', 'asking', 'happen', 'customer']"
2,2,26453,23366176.0,KenOkel,"As a motivational keynote speaker, I work with leaders who want to unleash employee performance and productivity. I also use video in clever ways.","Boynton Beach, Florida",285,646,46145,3/8/2009 22:50,6/1/2020 13:04,0,Have you noticed more work #email when you #workfromhome? Here are tips so you don't overwhelm your coworkers or miss something important. https://t.co/9KvoThrHTZ #podcast #communication,"[{'text': 'email', 'indices': [27, 33]}, {'text': 'workfromhome', 'indices': [43, 56]}, {'text': 'podcast', 'indices': [163, 171]}, {'text': 'communication', 'indices': [172, 186]}]",1.27e+18,"['have', 'you', 'noticed', 'more', 'work', 'when', 'you', 'here', 'are', 'tips', 'so', 'you', 'don', 't', 'overwhelm', 'your', 'coworkers', 'or', 'miss', 'something', 'important']","['noticed', 'work', 'tip', 'overwhelm', 'coworkers', 'miss', 'something', 'important']"
3,2,46244,397422312.0,EducationFForum,"The #EducationForum brings senior professionals together over a series of face-to-face meetings, seminars & networking opportunities. 16th & 17th November 2020",Whittlebury Park,1457,919,1559,24/10/2011 17:28,8/6/2020 7:30,0,"Pupils studying less while on lockdown... 75 per cent of parents admit their children spend less time studying in lockdown than they would at school, working 2.5 hours less a day. #COVID19 #WFH
https://t.co/CCyMXZT3YY","[{'text': 'COVID19', 'indices': [180, 188]}, {'text': 'WFH', 'indices': [189, 193]}]",1.26989e+18,"['pupils', 'studying', 'less', 'while', 'on', 'lockdown', 'per', 'cent', 'of', 'parents', 'admit', 'their', 'children', 'spend', 'less', 'time', 'studying', 'in', 'lockdown', 'than', 'they', 'would', 'at', 'school', 'working', 'hours', 'less', 'a', 'day']","['pupil', 'studying', 'le', 'lockdown', 'per', 'cent', 'parent', 'admit', 'child', 'spend', 'le', 'time', 'studying', 'lockdown', 'would', 'school', 'working', 'hour', 'le', 'day']"
1,2,2596,1.21404e+18,fvacoachmizpah,"FVA #Coach that offers guided training & coaching on #freelancing, #SMM, #SEO, #REI, and other #online jobs courses.","San Diego, California",6,19,56,6/1/2020 4:20,25/5/2020 16:01,0,"HOW TO BE PRODUCTIVE WHILE WORKING FROM
HOME by Coach Mizpah
1. Start your day with a prayer.
2. Have a to-do-list for the day.
3. Listen to inspirational podcast. 
#mondaymotivation
#freelancing
#virtualassistant
#coaching
#fvacalifornia
#fvaconsultancy
#workfromhome https://t.co/x3KzZzo2o1","[{'text': 'mondaymotivation', 'indices': [165, 182]}, {'text': 'freelancing', 'indices': [183, 195]}, {'text': 'virtualassistant', 'indices': [196, 213]}, {'text': 'coaching', 'indices': [214, 223]}, {'text': 'fvacalifornia', 'indices': [224, 238]}, {'text': 'fvaconsultancy', 'indices': [239, 254]}, {'text': 'workfromhome', 'indices': [255, 268]}]",1.26495e+18,"['how', 'to', 'be', 'productive', 'while', 'working', 'fromhome', 'by', 'coach', 'mizpah', 'start', 'your', 'day', 'with', 'a', 'prayer', 'have', 'a', 'to', 'do', 'list', 'for', 'the', 'day', 'listen', 'to', 'inspirational', 'podcast']","['productive', 'working', 'fromhome', 'coach', 'mizpah', 'start', 'day', 'prayer', 'list', 'day', 'listen', 'inspirational', 'podcast']"
3,1,43279,597561154.0,RavindrAhlawat,,"Delhi, India",62,10,164,2/6/2012 16:43,7/6/2020 6:38,0,"To all the baccha party, there will be no holidays from next session, instead you will have to attend online classes during summer and winter breaks.
#Summer2020 #vacations #onlineclasses 
#WorkFromHome 
#SchoolFees #schoolreopening 
#WFH #IndiaFightsCorona","[{'text': 'Summer2020', 'indices': [150, 161]}, {'text': 'vacations', 'indices': [162, 172]}, {'text': 'onlineclasses', 'indices': [173, 187]}, {'text': 'WorkFromHome', 'indices': [189, 202]}, {'text': 'SchoolFees', 'indices': [204, 215]}, {'text': 'schoolreopening', 'indices': [216, 232]}, {'text': 'WFH', 'indices': [234, 238]}, {'text': 'IndiaFightsCorona', 'indices': [239, 257]}]",1.26952e+18,"['to', 'all', 'the', 'baccha', 'party', 'there', 'will', 'be', 'no', 'holidays', 'from', 'next', 'session', 'instead', 'you', 'will', 'have', 'to', 'attend', 'online', 'classes', 'during', 'summer', 'and', 'winter', 'breaks']","['baccha', 'party', 'holiday', 'next', 'session', 'instead', 'attend', 'online', 'class', 'summer', 'winter', 'break']"
4,4,68800,37778253.0,krmarko,"Independent tech analyst, consultant and writer at MarkoInsights. Contributor to Diginomica, Tech Target, AvidThink, SDxCentral. DM for @Signalapp number",My own private Idaho,382,3380,32552,4/5/2009 22:28,17/6/2020 19:28,0,Snowcone would make a great #WFH NAS and hybrid #cloud client if not for the pricing of $6 per day. Need to offer another pricing model for permanent installations that is cost effective. Maybe call it a microOutpost to distinguish from data transfer devices. https://t.co/3KO5xWgRDN,"[{'text': 'WFH', 'indices': [28, 32]}, {'text': 'cloud', 'indices': [48, 54]}]",1.27334e+18,"['snowcone', 'would', 'make', 'a', 'great', 'nas', 'and', 'hybrid', 'client', 'if', 'not', 'for', 'the', 'pricing', 'of', 'per', 'day', 'need', 'to', 'offer', 'another', 'pricing', 'model', 'for', 'permanent', 'installations', 'that', 'is', 'cost', 'effective', 'maybe', 'call', 'it', 'a', 'microoutpost', 'to', 'distinguish', 'from', 'data', 'transfer', 'devices']","['snowcone', 'would', 'make', 'great', 'na', 'hybrid', 'client', 'pricing', 'per', 'day', 'need', 'offer', 'another', 'pricing', 'model', 'permanent', 'installation', 'cost', 'effective', 'maybe', 'call', 'microoutpost', 'distinguish', 'data', 'transfer', 'device']"
2,5,35778,8.20629e+17,remoteokjobs,Looking for Remote Jobs? Check our list at https://t.co/RsE75oMKZk,,1691,440,1186,15/1/2017 13:49,4/6/2020 14:31,6,"https://t.co/D2jnoAQ1Pw is hiring a remote Frontend Engineer (ES8/React/Redux/Saga) #remotework #remoteworking #remotejobs #hiring #remote #workfromhome #jobs #javascript  #react #java #programming #full-time #programming #u.s.a. 
 https://t.co/Wj5JOGit2L","[{'text': 'remotework', 'indices': [84, 95]}, {'text': 'remoteworking', 'indices': [96, 110]}, {'text': 'remotejobs', 'indices': [111, 122]}, {'text': 'hiring', 'indices': [123, 130]}, {'text': 'remote', 'indices': [131, 138]}, {'text': 'workfromhome', 'indices': [139, 152]}, {'text': 'jobs', 'indices': [153, 158]}, {'text': 'javascript', 'indices': [159, 170]}, {'text': 'react', 'indices': [172, 178]}, {'text': 'java', 'indices': [179, 184]}, {'text': 'programming', 'indices': [185, 197]}, {'text': 'full', 'indices': [198, 203]}, {'text': 'programming', 'indices': [209, 221]}, {'text': 'u', 'indices': [222, 224]}]",1.26855e+18,"['is', 'hiring', 'a', 'remote', 'frontend', 'engineer', 'es', 'react', 'redux', 'saga', 'time', 's', 'a']","['hiring', 'remote', 'frontend', 'engineer', 'e', 'react', 'redux', 'saga', 'time']"
4,3,65330,296262763.0,ronildaRNusa,Registered Nurse. Digital Entrepreneur,"New York, USA",149,78,32196,10/5/2011 13:28,16/6/2020 23:58,0,"@maiden16_cali @MaineAlden16 Hi I’m an ALDUB &amp; EB fan! Check this out- we'll help set up your successful business online. Watch our Live FREE WEBINAR on TUESDAYS &amp; THURSDAYS at 8pm ET-7pm CT-5pm PT. Replays &amp; to Learn more visit my site at https://t.co/vpXtWZmIVs 
#onlineincome
#onlinebusiness #WorkFromHome","[{'text': 'onlineincome', 'indices': [277, 290]}, {'text': 'onlinebusiness', 'indices': [291, 306]}, {'text': 'WorkFromHome', 'indices': [307, 320]}]",1.27304e+18,"['hi', 'im', 'an', 'aldub', 'amp', 'eb', 'fan', 'check', 'this', 'out', 'we', 'll', 'help', 'set', 'up', 'your', 'successful', 'business', 'online', 'watch', 'our', 'live', 'free', 'webinar', 'on', 'tuesdays', 'amp', 'thursdays', 'at', 'pm', 'et', 'pm', 'ct', 'pm', 'pt', 'replays', 'amp', 'to', 'learn', 'more', 'visit', 'my', 'site', 'at']","['hi', 'im', 'aldub', 'amp', 'eb', 'fan', 'check', 'help', 'set', 'successful', 'business', 'online', 'watch', 'live', 'free', 'webinar', 'tuesday', 'amp', 'thursday', 'pm', 'et', 'pm', 'ct', 'pm', 'pt', 'replay', 'amp', 'learn', 'visit', 'site']"
